Label,Name,Type
T1222,File and Directory Permissions Modification,Technique
T1222.001,Windows File and Directory Permissions Modification,Subtechnique
T1222.002,Linux and Mac File and Directory Permissions Modification,Subtechnique
T1564,Hide Artifacts,Technique
T1564.001,Hidden Files and Directories,Subtechnique
T1564.002,Hidden Users,Subtechnique
T1564.003,Hidden Window,Subtechnique
T1564.004,NTFS File Attributes,Subtechnique
T1564.005,Hidden File System,Subtechnique
T1564.006,Run Virtual Instance,Subtechnique
T1564.007,VBA Stomping,Subtechnique
T1564.008,Email Hiding Rules,Subtechnique
T1564.009,Resource Forking,Subtechnique
T1564.010,Process Argument Spoofing,Subtechnique
T1562,Impair Defenses,Technique
T1562.001,Disable or Modify Tools,Subtechnique
T1562.002,Disable Windows Event Logging,Subtechnique
T1562.003,Impair Command History Logging,Subtechnique
T1562.004,Disable or Modify System Firewall,Subtechnique
T1562.006,Indicator Blocking,Subtechnique
T1562.007,Disable or Modify Cloud Firewall,Subtechnique
T1562.008,Disable Cloud Logs,Subtechnique
T1562.009,Safe Mode Boot,Subtechnique
T1562.010,Downgrade Attack,Subtechnique
T1070,Indicator Removal on Host,Technique
T1070.001,Clear Windows Event Logs,Subtechnique
T1070.002,Clear Linux or Mac System Logs,Subtechnique
T1070.003,Clear Command History,Subtechnique
T1070.004,File Deletion,Subtechnique
T1070.005,Network Share Connection Removal,Subtechnique
T1070.006,Timestomp,Subtechnique
T1202,Indirect Command Execution,Technique
T1036,Masquerading,Technique
T1036.001,Invalid Code Signature,Subtechnique
T1036.002,Right-to-Left Override,Subtechnique
T1036.003,Rename System Utilities,Subtechnique
T1036.004,Masquerade Task or Service,Subtechnique
T1036.005,Match Legitimate Name or Location,Subtechnique
T1036.006,Space after Filename,Subtechnique
T1036.007,Double File Extension,Subtechnique
T1578,Modify Cloud Compute Infrastructure,Technique
T1578.001,Create Snapshot,Subtechnique
T1578.002,Create Cloud Instance,Subtechnique
T1578.003,Delete Cloud Instance,Subtechnique
